#,offset_hex,ctrl,size,original_en,traducao_pt,skip
22,0x077A80,02,30,"Make sure you vote
before the","Vote antes que o
prazo acabe",0
23,0x077A9F,02,34,"election ends!
Every vote counts!","eleição acabe!
Todo voto conta!",0
24,0x077AC2,02,34,"You'd better get
some rest before","É melhor descansar
antes de",0
25,0x077AE5,02,23,"your big day
tomorrow!","seu grande dia
amanhã!",0
26,0x077AFD,02,34," A heart... Must
 be a love gang.","Um coração...
 gang do amor.",0
27,0x077B20,02,22," Sick of the
 system,","Farto do
 sistema,",0
28,0x077B37,02,34," GIRT turned to a
 life of crime.","GIRT enveredou
 pelo crime.",0
29,0x077B5A,02,74,Worker after union meeting variables are set in the trigger in this scene,,1
30,0x077BA5,03,52,"UNCLE BOP: Hey
Girt... I heard ya
flunked the test.","TIO BOP: Ei
Girt... Ouvi que
você reprovou.",0
31,0x077BDA,03,41,"Don't worry about
it. I failed mine
too.","Não se preocupe.
Eu reprovei
também.",0
32,0x077C04,03,45,"Got caught
cheating if you
can believe that.","Me peguei
colando, se você
acreditar nisso.",0
33,0x077C32,03,43,"I can get you a
job at the police
academy.","Posso te arranjar
um emprego na
policia.",0
34,0x077C5E,03,53,"UNCLE BOP: Hey
Girt... I heard ya
left the job fair.","TIO BOP: Ei
Girt... Ouvi que
você saiu da feira",0
35,0x077C94,03,50,"Don't worry about
it. Some people
just aren't cut","Não se preocupe.
Algumas pessoas
simplesmente",0
36,0x077CC7,03,28,"out for those
fancy jobs.
 ","não são
feitas
pra isso.",0
37,0x077CE4,02,31,"Hey just between
you and me...","Ei, só entre nós
dois...",0
38,0x077D04,02,30,"You don't want
anything to do","Você não quer
nada com isso",0
39,0x077D23,02,33,"with the cops...
If you skip the","com a policia...
Se você fugir",0
40,0x077D45,02,31,"police academy,
I'll get you a","da policia,
eu te arrumo",0
41,0x077D65,02,20,"job at the
factory.","emprego na
fábrica.",0
42,0x077D7A,02,15,Whaddya think?,O que acha?,0
43,0x077D8A,02,34,"I think you made
the right choice","Acho que você fez
a escolha certa",0
44,0x077DAD,02,32,"We don't make a
lot of money...","Não ganhamos
muito dinheiro...",0
45,0x077DCE,02,26,"And we work
really hard..","Trabalhamos
muito duro..",0
46,0x077DE9,02,29,"but sometimes we
have fun...","mas às vezes
nos divertimos.",0
47,0x077E07,02,22,"...during our
breaks.","...nas pausas
nossas.",0
48,0x077E1E,03,40,"Alright. It's
your decision.
Good luck.","Tudo bem. É a
sua decisão.
Boa sorte.",0
49,0x077E47,03,37,"Let's hope ya
made the right
choice.","Tomara que
tenha feito
a certa.",0
50,0x077E6D,03,45,"Hey GIRT... Head
up NORTH to see
the ruckus.","Ei GIRT... Vá
para o NORTE ver
a bagunça.",0
51,0x077E9B,03,35,"UNCLE BOP: Welcome
to the squad!
 ","TIO BOP:
Bem-vindo ao
esquadrão!",0
52,0x077EBF,03,44,"I'll see you
at the crack of
dawn tomorrow.","Te vejo
no amanhecer
de amanhã.",0
53,0x077EEC,02,31,"So what do you
think? Wanna be","Então, o que acha?
Quer ser",0
54,0x077F0C,02,26,"a cop like yer old
uncle?","um policial como
seu tio?",0
55,0x077F27,02,32,"I'll let you
decide what to do.","Vou deixar a
decisão pra você.",0
56,0x077F48,02,27,"A flyer for the
MaWA Party","Panfleto do
Part. MaWA",0
57,0x077F64,02,27,"A flyer for the
Volf Party","Panfleto do
Part. Volf",0
58,0x077F80,02,27,"A flyer for the
Wolf Party","Panfleto do
Part. Wolf",0
59,0x077F9C,02,28,"A flyer for the
Sheep Party","Panfleto do
Part. Sheep",0
60,0x077FB9,03,35,"It's a map of the
train system.
  ","É um mapa
do sistema
de trem.",0
61,0x077FDD,02,27,"Best not to show
your face","Melhor não
aparecer",0
62,0x077FF9,02,4,Spy,Spy,0
63,0x078035,02,25,"around school
right now.","pela escola
agora não.",0
64,0x07804F,02,29,"The assembly
hall is closed.","O auditório
está fechado.",0
65,0x07806D,03,38,"Your new factory
job is through
here.","Novo emprego
na fábrica
por aqui.",0
66,0x078094,02,30,"You'll need to
take the train","Você precisará
pegar o trem",0
67,0x0780B3,02,31,"to get back to
your apartment.","de volta ao
seu apartamento.",0
68,0x0780D3,03,39,"Hey there, buddy!
Spare some change?
 ","Ei,
amigo!
Tem troco?",0
69,0x0780FB,03,36,"That wallet's
looking pretty
juicy.","Essa carteira
parece bem
cheia.",0
70,0x078120,03,41,"Looks like
SOMEONE's been
getting lucky ","Parece que
ALGUÉM andou
com sorte",0
71,0x07814A,03,23,"betting on horses.
 
 ","apostando
em
cavalos.",0
72,0x078162,02,26," You gave up
 your MONEY.","Você deu
 seu DINHEIRO.",0
73,0x07817D,03,47,"Wow, you're
loaded! Well, it
may have cost you","Uau, rico!
Bem, pode ter
custado bem caro",0
74,0x0781AD,03,38,"but you learned
a tough lesson
today.","mas aprendeu
uma lição dura
hoje.",0
75,0x0781D4,03,50,"Next time you see
some sketchy guys
on the street","Da próxima vez
que ver caras
suspeitas",0
76,0x078207,03,29,"just walk the
other way...
 ","só vá
pelo outro
lado...",0
77,0x078225,03,41,"Really this was a
CHEAP LESSON for
ya...","Isso foi uma
LIÇÃO BARATA
pra você...",0
78,0x07824F,03,52,"Whoa, that guy was
loaded! I can see
why he didn't ","Uau, que cara
rico! Dá pra
entender porque",0
79,0x078284,03,40,"want to give up
his money! Well
boys...","queria largar
seu dinheiro!
Rapazes...",0
80,0x0782AD,03,23," 
We are LOADED now!
 ","Tamos
CHEIOS
AGORA!",0
81,0x0782C5,03,54,"Let's get changed
and go blow this
cash at Froggie's.","Vamos trocar
e gastar tudo
no Froggie's.",0
82,0x0782FC,03,46,"That's it!? We
killed a guy for
CHUMP CHANGE!","É isso!? A gente
matou um cara por
TROCADO!",0
83,0x07832B,03,39,"Why didn't he just
give up his
wallet?","Por que ele não
entregou sua
carteira?",0
84,0x078353,03,44,"This isn't a
multiple-choice
type scenario.","Isso não é de
múltipla escolha
aqui.",0
85,0x078380,03,32,"Give us the money
or you die.
 ","Dê o
dinheiro ou
cê morre.",0
86,0x0783A1,02,29,"Can't say we
didn't warn ya!","Não falamos
que não avisamos",0
87,0x0783BF,02,31,"Let's get the HELL
outta here!","Vamos nos mandar
daqui, logo!",0
88,0x0783DF,03,40,"GIRT found a
smelly roommate
named TOE.","GIRT achou
um colega fedor
chamado TOE.",0
89,0x078408,03,33,"He was difficult
to live with.
 ","Ele era
difícil de
conviver.",0
90,0x07842A,03,52,"GIRT lived in that
apartment until
the day he died.","GIRT morou nesse
apê até o dia
em que morreu.",0
91,0x07845F,03,14,"and so...
 
 ","e então...

",0
92,0x07846E,03,48,"GIRT was able
to move back to 
TOE'S APARTMENT.","GIRT pôde
voltar pra
TOE'S APARTMENT.",0
93,0x07849F,03,50,"He lived in that
apartment until
the day he died.","Ele morou naquele
apartamento até
morrer.",0
94,0x0784F2,02,19,"I'm sorry,
Girt...","Desculpa,
Girt...",0
95,0x078506,02,30,"I hate to do
this to you..but","Odeio fazer
isso contigo..mas",0
96,0x078525,02,32,"you just can't
stay here if you","você não pode
ficar aqui se",0
97,0x078546,02,31,"aren't helping
with the bills.","não ajudar
com as contas.",0
98,0x078566,02,14,"Girt, Wait...","Girt, espera!",0
99,0x078575,02,27,"I know this
guy named HUD.","Conheço um
cara, o HUD.",0
100,0x078591,02,22,"I can't stand
him but","Não o suporto
mas",0
101,0x0785A8,02,30,"He lives in this
squat on the","Ele mora nesse
apartamento na",0
102,0x0785C7,02,13,lower level.,nivel baixo.,0
103,0x0785D5,02,26,"Maybe you can
live there?","Talvez possa
morar lá?",0
104,0x0785F0,03,43,"Oh so just
because you got
a fancy new job","Ah, só porque
cê tem
um emprego novo",0
105,0x07861C,03,32,"you're too good
for this dump?
","tá bom demais
pra esse
muquifo?",0
106,0x07863D,03,46,"I see how it is.
Did you find
someone else to","Já entendi.
Achou alguém
para substituir?",0
107,0x07866C,03,44,"rent your room?
Yeah, I figured
you didn't.","alugar seu quarto?
Sim, imaginei
que não.",0
108,0x078699,02,17,"Can you like...
","Pode
tipo...",0
109,0x0786AB,02,28,"Get me a job or
something? ","Me arranja um
emprego?",0
110,0x0786C8,02,24,"I wanna make
money too.","Quero grana
também.",0
111,0x0786E1,02,30,"Sleep in your
bed to get some","Durma na sua
cama um pouco",0
112,0x078700,02,22,"rest for the
new job!","antes do
emprego!",0
113,0x078717,02,32,"It's your first
day on the job.","É seu primeiro
dia de trabalho.",0
114,0x078738,02,20,"Better not be
late!","Não se
atrase!",0
115,0x07874D,02,27," Go to the
 POLICE ACADEMY","Vá à
 ACADEMIA POLICIAL",0
116,0x078769,02,27," to finish your
 training.","terminar
 treinamento.",0
117,0x078785,03,34,"It's your first
day on the job.
 ","É seu
primeiro dia
no trabalho.",0
118,0x0787A8,03,34,"Better get to
the police
station!","Vá para a
delegacia
de policia!",0
119,0x0787CB,03,41," Get to your new
 job working for
 GHAN!","Vá ao seu novo
 emprego pra
 GHAN!",0
120,0x0787F5,03,43," It's at GHAN's 
 MANSION on the
 L floor.","Fica na
 MANSÃO do GHAN
 no andar L.",0
121,0x078821,03,35," It has been
 marked on your
 map.","Foi marcado
 no seu
 mapa.",0
122,0x078845,03,45," Some COP was
 here looking
 for you before.","Um POLICIAL
 esteve aqui
 te procurando.",0
123,0x078873,03,42," What crazy
 stuff are you
 getting into?","Que loucura
 você está
 se metendo?",0
124,0x07889E,03,33,"This is TOE.
He's your
roommate.","Este é TOE.
Ele é seu
colega.",0
125,0x0788C0,03,38,"Sorry about the
toenails in the
sink.","Desculpe as
unhas dos dedos
na pia.",0
126,0x0788E7,03,28,"I'll clean em up
tomorrow.
","Vou limpar
isso
amanhã.",0
127,0x078904,03,42,"Hey I know you
need to go
through my room","Sei que cê
precisa passar
pelo meu quarto",0
128,0x07892F,03,27,"to get to the
bathroom...
","pra
ir ao
banheiro...",0
129,0x07894B,03,33,"but please ask
before coming
in.","mas peça antes
de entrar.
ok.",0
130,0x07896D,02,29,"Uh I'm pretty
sure it's your","Acho que é
sua vez",0
131,0x07898B,02,28,"turn to take out
the trash.","de levar o lixo
para fora.",0
132,0x0789A8,03,40,"Man, something
smells in the
kitchen...","Cara, tem algo
cheirando na
cozinha...",0
133,0x0789D1,02,30,"I think I saw a
mouse earlier","Acho que vi um
rato antes",0
134,0x0789F0,02,24,"but I lost track
of it.","mas perdi ele
de vista.",0
135,0x078A09,03,37,"The sink doesn't
work. It's
clogged.","A pia não
funciona. Está
entupida.",0
136,0x078A2F,03,48,"The bathtub...
It'd be nice if
TOE used it from","A banheira...
Seria bom se o
TOE a usasse de",0
137,0x078A60,02,16,time to time...,vez em quando..,0
138,0x078A71,03,42,"There's no door on
the bathroom so
you'll","Não há porta no
banheiro, então
você",0
139,0x078A9C,03,39,"have to go when
TOE is in the
kitchen.","vai quando o
TOE estiver na
cozinha.",0
140,0x078AC4,02,16,Use the toilet?,Usar o privada?,0
141,0x078AD5,03,41,"You'd been holding
that one for a
while.","Você segurou
isso por um
tempo.",0
142,0x078AFF,03,51,"It's too early to
sleep. Better go
get stuff done!","Muito cedo pra
dormir. Melhor
ir fazer coisas!",0
143,0x078B33,03,45,"Can't sleep now.
It's the middle of
the day.","Não dá pra dormir.
É o meio do
dia agora.",0
144,0x078B61,02,27,"Go to sleep for
the night?","Ir dormir
pela noite?",0
145,0x078B7D,03,43,"TOE would get
mad if you slept
in his bed.","TOE ficaria
bravo se você
dormisse lá.",0
146,0x078BA9,03,30," TOE ate all of
 your food.
 ","TOE comeu
toda a sua
comida.",0
147,0x078BC8,03,42," He left all of
 his rotten food
 though.","Mas deixou
 toda sua comida
 podre.",0
148,0x078BF3,03,36," You don't feel
 THAT hungry yet.
 ","Ainda não
tá com
tanta fome.",0
149,0x078C18,02,25,"It's your new
PET STONE!","É sua nova
PEDRA PET!",0
150,0x078C32,02,24,"It's your new
ANT FARM!","É sua nova
FORMIGUEIRO!",0
151,0x078C4B,02,25,"It's your new
FISH BOWL!","É sua nova
PEIXEIRA!",0
152,0x078C65,02,28,"It's your new
BALL CLICKER!","É seu novo
CLICADOR!",0
153,0x078C82,02,25,"It's your new
BLOB LAMP!","É sua nova
BLOB LAMP!",0
154,0x078C9C,02,10,Pet Stone,Pedra Pet,0
155,0x078CA7,02,9,Ant Farm,Formigas,0
156,0x078CB1,02,10,Fish Bowl,Aquário,0
157,0x078CBC,02,13,Ball clicker,Clicador,0
158,0x078CCA,02,10,Blob Lamp,Blob Lamp,0
159,0x078CD5,03,41,"Oh! They're
picking the
winning numbers!","Oh! Estão
sorteando os
números!",0
160,0x078CFF,02,31,"Do you want to
see hints about","Quer ver dicas
sobre onde ir",0
161,0x078D1F,02,32,"where to go or
what to do next?","ou o que fazer
a seguir?",0
162,0x078D40,02,26," TUTORIALS     $
 ENABLED","TUTORIAIS    $
 ATIVADOS",0
163,0x078D5B,02,27," TUTORIALS     )
 DISABLED","TUTORIAIS     )
 DESATIV.",0
164,0x078D77,03,26,"Exit to the
title
screen?","Sair para
a tela
inicial?",0
165,0x078D92,03,32,"You will lose
unsaved
progress.","Perderá o
progresso
não salvo.",0
166,0x078DB3,03,34,"               $
GAME DATA SAVED
","$
DADOS
SALVOS",0
167,0x078DD6,03,44,"Some people
protested the
brutal conditions","Alguns
protestaram as
condições brutais",0
168,0x078E03,03,49,"they were working
under but the
media had turned","que trabalhavam,
mas a midia
virou a população",0
169,0x078E35,03,31,"the population
against them.
 ","a população
contra
eles.",0
170,0x078E55,03,32,"The police
arrested them all.
 ","A policia
prendeu
todos.",0
171,0x078E76,03,42,"Now that you're
done with work
you can do","Agora que acabou
o trabalho,
você pode",0
172,0x078EA1,03,43,"whatever you
want for the
rest of the day.","o que quiser
pelo resto
do dia.",0
173,0x078ECD,03,37,"When you're
done, go home 
to sleep.","Quando acabar,
vá pra casa 
dormir.",0
174,0x078EF3,03,47,"Hey Girt.. We're
all pissed about
that contest","Ei Girt.. Estamos
furiosos com
aquele concurso",0
175,0x078F23,03,38,"stunt TERP
pulled to raise
the quota.","que o TERP fez
para aumentar
a cota.",0
176,0x078F4A,03,37,"We're gonna have
a meeting about
it.","Vamos ter uma
reunião sobre
isso.",0
177,0x078F70,03,36,"It's in the bar.
Want to join us?
 ","É no
bar. Quer
entrar?",0
178,0x078F95,03,45,"stunt TERP
pulled to try to
raise the quota.","que o TERP fez
tentando aumentar
a cota.",0
179,0x078FC3,03,41," They probably
 still plan to
 raise it.","Eles ainda
 planejam
 aumentar.",0
180,0x078FED,03,44," I know that if
 you got MORE
 than TEN, he","Sei que se
vc fez MAIS
de DEZ, ele",0
181,0x07901A,03,40," would have
 made the quota
  PERMANENT","teria feito
a cota ficar
PERMANENTE",0
182,0x079043,03,30,"  instead of
  temporary...
 ","em
vez de
temporária...",0
183,0x079062,03,51,"OK, Great! Let's
try to get there
before it starts","OK, ótimo! Vamos
tentar chegar lá
antes de começar",0
184,0x079096,03,40,"Alright... well
if you change
your mind","Tudo bem... se
vc mudar
de ideia",0
185,0x0790BF,03,30,"we will be here
in the bar.
 ","estaremos
aqui
no bar.",0
186,0x0790DE,02,33,"You know.. after
you helped Terp","Sabe.. depois que
ajudou Terp",0
187,0x079100,02,28,"set a really
high quota....","a impor uma
cota bem alta..",0
188,0x07911D,02,31,"It might make
the workers like","Pode fazer os
trabalhadores te",0
189,0x07913D,02,29,"you again if you
join us....","gostar de você
se juntar....",0
190,0x07915B,03,45,"Morning, GIRT!
We got a big day
ahead of us.","Bom dia, GIRT!
Temos um grande
dia à frente.",0
191,0x079189,03,43,"We have to sign
everyone up for
the union.","Temos que filiar
todos no
sindicato.",0
192,0x0791B5,03,36,"Just get them to
sign a union
card.","Faça assinar
uma ficha
do sindicato",0
193,0x0791DA,03,46,"Hey Girt... I
know you don't
want to join the","Ei Girt... Eu
sei que cê não
quer entrar no",0
194,0x079209,03,44,"union...but I
have a favor to
ask of you as","sindicato... mas
tenho um favor
a pedir,",0
195,0x079236,03,39,"a friend. Please
don't tell TERP
about","como amigo. Por
favor não diga ao
TERP",0
196,0x07925E,03,27,"any of this
union stuff.
 ","nada
disso do
sindicato.",0
197,0x07927A,03,39,"Remember not
everyone wants
to join...","Lembre que nem
todos querem
entrar...",0
198,0x0792A2,03,45,"So try to be
smart about how
you ask people.","Então seja
esperto na hora
de perguntar.",0
199,0x0792D0,03,42,"I think I'll get
fired if you
mention it.","Serei demitido
se você
mencionar.",0
200,0x0792FB,03,43,"OK, let's hope
we recruited
enough people!","OK, tomara que
recrutamos
gente suficiente",0
201,0x079327,03,33,"Tomorrow we're
doing a
walk-off.","Amanhã faremos
um
walk-off.",0
202,0x079349,03,47,"If we don't have
enough people,
we'll probably","Se não tivermos
gente bastante,
provavelmente",0
203,0x079379,03,19,"lose our jobs.
 
 ","perder
o
emprego.",0
204,0x07938D,03,45,"Get some sleep,
GIRT. Tomorrow
is a big day.","Durma um pouco,
GIRT. Amanhã
é dia grande.",0
205,0x0793BB,03,29,"Alright, GIRT!
This is it.
 ","Beleza,
GIRT!
É isso.",0
206,0x0793D9,03,33,"The walk-off
starts in a
minute.","O walk-off
começa em
um minuto.",0
207,0x0793FB,03,24,"Let's see how we
did.
 ","Vamos
ver como
foi.",0
208,0x079414,02,25,"No one joined
the union!","Ninguém entrou
na união!",0
209,0x07942E,02,21,"It's looking
good...","Parece bom
assim...",0
210,0x079444,03,37,"Oh no..I'm not
sure that's
enough...","Ai não..Não
acho que
basta...",0
211,0x07946A,02,24,"Where did
everyone go!?","Onde foi
todo mundo!?",0
212,0x079483,02,18,"Get back to
work!","Volte!
Trabalhe!",0
213,0x079496,02,29,"We'll raise the
quota again!","Vamos elevar
a cota mais!",0
214,0x0794B4,02,10,...Guys!?,...Cara!?,0
215,0x0794BF,02,15,UNION CREATED!,UNIÃO CRIADA!,0
216,0x0794CF,03,34,"Hey, who do you
think you are!?
 ","Ei, quem
vc acha
que é!?",0
217,0x0794F2,03,29,"You all are
nothing to us.
 ","Vocês não
são nada
pra nós.",0
218,0x079510,03,39,"We're still
grinding on at
full speed.","Ainda no posto
a todo vapor
sem parar.",0
219,0x079538,03,40,"Don't bother
coming back.
You're all...","Não volte
pra cá.
Vocês todos...",0
220,0x079561,03,11,"FIRED!
 
 ","FORA!

",0
221,0x07956D,03,43,"Well, uh... That
did NOT go how
I'd hoped.","Bom, uh... Não
foi como eu
esperava.",0
222,0x079599,03,39,"We did it! Now
they have to
negotiate.","Conseguimos!
Têm que
negociar agora!",0
223,0x0795C1,03,26,"This calls for a
drink.
 ","Isso
pede um
drink.",0
224,0x0795DC,02,31,"Man... I'm gonna
need a drink.","Cara... Eu
preciso beber.",0
225,0x0795FC,02,37,This logic is inside a scene trigger,,1
226,0x079622,03,37,"That evening a
new union was
formed.","Naquela noite
nasce uma
nova união.",0
227,0x079648,03,45,"Their first
demand was that
all workers that","A primeira
exigencia deles
foi q todos q",0
228,0x079676,03,29,"refused to join
be fired...
","recusassem
entrar,
demitidos",0
229,0x079694,03,18,"You were fired.

","Vc
foi
demitido",0
230,0x0796A7,02,79,These are scene setup so they should happen even if you didn't come from pause,,1
231,0x0796F7,03,44,"Alright GIRT,
we've got a new
union hangout","Certo GIRT,
temos um novo
reduto sindical",0
232,0x079724,03,45,"in the back of
Froggie's bar.
Just show your","nos fundos do
bar Froggie's.
Só mostrar sua",0
233,0x079752,03,41,"UNION ID BADGE
and they will
let you in.","ID DO SINDICATO
e eles vão
te liberam.",0
234,0x07977C,03,43,"We have a
meeting tonight-
 Don't miss it!","Temos uma
reunião hoje-
 Não perca!",0
235,0x0797A8,03,40,"Congrats on
being our new
leader, GIRT!","Parabéns por
ser o novo
lider, GIRT!",0
236,0x0797D1,03,48,"You really won't
want to miss our
meetings now.","Você realmente
não vai querer
perder agora.",0
237,0x079802,03,42,"GIRT, You're not
going to believe
this...","GIRT, você não
vai acreditar
nisso...",0
238,0x07982D,03,41,"The union chose
me to be the new
leader!","O sindicato me
escolheu como
novo lider!",0
239,0x079857,03,39,"I would have
picked you...
but I'll do","Eu teria te
escolhido...
mas vou",0
240,0x07987F,03,37,"the best I can
to be up to the
task.","o melhor que
puder para
a tarefa.",0
241,0x0798A5,02,68,"After quitting your job, the player still had the worker uniform on",,1
242,0x0798EA,02,30," The drink wore
 off already.","A bebida
 já passou.",0
243,0x079909,02,23," You have a
 headache.","Você tem
 enxaqueca.",0
244,0x079921,02,36,"Man, get the hell
outta here, GIRT!","Cara, vai logo
daqui, GIRT!",0
245,0x079946,02,16,What a scumbag.,Que canalha.,0
246,0x079957,02,28,"Our demands are
reasonable.","Nossas demandas
são justas.",0
247,0x079974,02,28,"I'm sure they'll
cave if we","Tenho certeza
cederão se",0
248,0x079991,02,22,"pressure them
enough.","pressionar
bastante.",0
249,0x0799A8,03,48,"MAWA huh? You know
we're all with
you, brother!","MAWA hein?
Estamos todos
com você, irmão!",0
250,0x0799D9,03,54,"VOLF? Better get
outta here before
someone finds out.","VOLF? É melhor
sair antes que
alguém descubra.",0
251,0x079A10,02,23,"Flyers given
out: $65$","Panfletos
dados: $65$",0
252,0x079A28,02,19,I already got one.,Já peguei um.,0
253,0x079A3C,02,35,"Terp told me not
to talk to you...","Terp disse pra
não falar com você",0
254,0x079A60,02,34,"...and I REALLY
can't let you in.","...e REALMENTE
não posso entrar.",0
255,0x079A83,02,33,"I'm lucky I just
watch the door.","Sorte que eu só
vigio a porta.",0
256,0x079AA5,02,31,"Moving boxes is
pretty boring!","Mover caixas é
muito chato!",0
257,0x079AC5,03,35,"JOEY:You here to
bust our heads?
 ","JOEY:Você veio
pra
arrebentar",0
258,0x079AE9,03,41,"We're just
trying to earn a
living wage.","Só queremos
ganhar um salário
decente.",0
259,0x079B13,03,39,"I should warn
you... We're
prepared to","Devo te avisar...
Estamos
preparados",0
260,0x079B3B,03,23,"escalate if you
are!
 ","escalar
se você
for!",0
261,0x079B53,03,44,"Tell old Mr.
moneybags GHAN
over there that","Diga ao velho Sr.
forrão GHAN
lá que",0
262,0x079B80,03,46,"we want our old
QUOTA back! He
has us sorting","queremos nossa
COTA antiga de
volta! Ele nos",0
263,0x079BAF,03,46,"way too many
boxes now. Also
he's got to stop","caixas demais.
Também, ele tem
que parar de",0
264,0x079BDE,03,30,"messing with our
paychecks!
 ","mexer nos
nossos
salários!",0
265,0x079BFD,02,31,"Tell GHAN what
our demads are!","Diga ao GHAN
nossas demandas!",0
266,0x079C1D,03,37,"What do you mean
he won't
negotiate?","Como assim ele
não vai
negociar?",0
267,0x079C43,03,43,"We're going to
shut down the
whole MACHINE","Vamos desligar
a MÁQUINA
inteira",0
268,0x079C6F,03,17,"until he does!

","até
ele
fizer!",0
269,0x079C81,03,39,"That's it! If
it's a fight you
want...","Chega! Se é
briga que você
quer...",0
270,0x079CA9,03,44,"Well!? Are they
lowering the
QUOTA or NOT!?","Então!? Vão
baixar a
COTA ou NÃO!?",0
271,0x079CD6,03,40,"Officer, you've
done enough
damage here","Oficial, você
já causou
estragos aqui",0
272,0x079CFF,03,41,"I think. If you
insist on
resolving this","Eu acho. Se você
insistir na
resolução",0
273,0x079D29,03,42,"peacefully, I
may as well do
it myself...","em paz, eu
posso tratar
disso eu mesmo...",0
274,0x079D54,02,29,"Butt out of our
negotiation!","Sai da nossa
negociação!",0
275,0x079D72,02,30,"We don't need
you goons here.","Não precisamos
de vocês aqui.",0
276,0x079D91,03,49,"You're the union
leader. I guess
you should talk","Você é o líder
do sindicato.
Acho que deveria",0
277,0x079DC3,03,45,"to the cops.
Remember we want
to come out of","falar com
os policiais.
Lembre: queremos",0
278,0x079DF1,03,35,"this looking
better than they
do. ","sair disso
melhor que
eles.",0
279,0x079E15,03,46,"If they attack
us, they will
look really bad.","Se atacarem,
vão parecer
muito mal.",0
280,0x079E44,03,49,"...and don't say
anything crazy
or get arrested!","...e não diga
nada louco
ou seja preso!",0
281,0x079E76,03,46,"Alright, GIRT...
As the union
leader, I'll do","Certo, GIRT...
Como lider do
sindicato, farei",0
282,0x079EA5,03,45,"the talking. You
just keep an eye
on things.","a fala. Você
só fique de olho
nas coisas.",0
283,0x079ED3,03,37,"JOEY is
negotiating with
the police.","JOEY está
negociando com
a polícia.",0
284,0x079EF9,03,44,"They are still
negotiating...
It's intense!","Ainda estão
negociando...
Que tenso!",0
285,0x079F26,03,43,"Man... they are
really playing
hardball...","Cara... estão
jogando pesado
de verdade...",0
286,0x079F52,03,26,"I have one more
idea...
 ","Tenho
mais uma
ideia...",0
287,0x079F6D,02,18,"The cop hit
JOEY!","O cop bateu
JOEY!",0
288,0x079F80,03,45,"Damn... I tried
to provoke him
but it didn't","Droga... Tentei
provocá-lo
mas não deu",0
289,0x079FAE,03,47,"work... I guess
we will have to
hope MAWA wins","adiantar... Tenho
que esperar que
MAWA ganhe",0
290,0x079FDE,03,18,"the election!
 
 ","vença
a
eleição!",0
291,0x079FF1,03,33,"I wish you were
our candidate.
 ","Queria que
cê
fosse",0
292,0x07A013,02,22,If you attack the cop,Se atacar o tira,0
293,0x07A02A,03,33,"What the hell
were you
thinking?","Que diabos você
estava
pensando?",0
294,0x07A04C,03,41,"I'll see what I
can do to get
you out...","Verei o que
posso para
te tirar daqui...",0
295,0x07A076,03,34,"Good luck on the
inside, buddy!
 ","Boa sorte
lá dentro,
cara!",0
296,0x07A099,02,28,"I'll be right
here. I trust","Fico aqui.
Confio em você",0
297,0x07A0B6,02,25,"your negotiation
skills.","seu talento
no negócio.",0
298,0x07A0D0,03,45,"Let me guess, only
cops get to have a
union?","Deixa adivinhar,
só policiais
tem sindicato?",0
299,0x07A0FE,02,21,"Give `em hell,
GIRT!","Manda ver,
GIRT!",0
300,0x07A114,03,54,"We know what side
you guys are on...
Get out of here!","Já sabemos de
que lado vocês
estão. Saiam!",0
